,County,State,Race,Population Size,Total Pop,Percentage
85,Kent ,MD,Native Hawaiian or Pacific Islander,10,19422,0.05148800329523221
86,Kent ,MD,Black,2893,19422,14.895479353310678
87,Kent ,MD,Asian,271,19422,1.395324889300793
88,Kent ,MD,Two or more Races,390,19422,2.0080321285140563
89,Kent ,MD,White,15790,19422,81.29955720317166
90,Montgomery ,MD,Native American or Alaskan,7784,1050688,0.7408479015654504
91,Montgomery ,MD,White,630063,1050688,59.966707528781136
92,Montgomery ,MD,Black,211547,1050688,20.134140677346654
93,Montgomery ,MD,Two or more Races,36387,1050688,3.4631593774745695
94,Montgomery ,MD,Native Hawaiian or Pacific Islander,1062,1050688,0.1010766278857282
95,Montgomery ,MD,Asian,163845,1050688,15.594067886946458
96,Prince George's ,MD,Native American or Alaskan,10955,909327,1.2047371297673994
97,Prince George's ,MD,Asian,40161,909327,4.416563018584074
98,Prince George's ,MD,Two or more Races,25005,909327,2.749835867625178
99,Prince George's ,MD,Black,585313,909327,64.36771370475087
100,Prince George's ,MD,White,246145,909327,27.06892020142369
101,Prince George's ,MD,Native Hawaiian or Pacific Islander,1748,909327,0.19223007784878268
102,Queen Anne's ,MD,White,45252,50381,89.81957483972133
103,Queen Anne's ,MD,Native Hawaiian or Pacific Islander,62,50381,0.12306226553661104
104,Queen Anne's ,MD,Asian,603,50381,1.1968797761060719
105,Queen Anne's ,MD,Black,3194,50381,6.339691550386058
106,Queen Anne's ,MD,Native American or Alaskan,243,50381,0.4823246858934916
107,Queen Anne's ,MD,Two or more Races,1027,50381,2.038466882356444
108,Somerset ,MD,Native Hawaiian or Pacific Islander,19,25616,0.07417239225484072
109,Somerset ,MD,Two or more Races,687,25616,2.6819175515302938
110,Somerset ,MD,Asian,258,25616,1.0071830106183635
111,Somerset ,MD,Native American or Alaskan,122,25616,0.47626483447845097
112,Somerset ,MD,White,13896,25616,54.2473454091193
113,Somerset ,MD,Black,10634,25616,41.51311680199875
114,St. Mary's ,MD,Asian,3296,113510,2.903708924323848
115,St. Mary's ,MD,Native Hawaiian or Pacific Islander,145,113510,0.12774204915866444
116,St. Mary's ,MD,Two or more Races,4051,113510,3.5688485595982735
117,St. Mary's ,MD,Black,16869,113510,14.86124570522421
118,St. Mary's ,MD,White,88595,113510,78.05039203594397
119,St. Mary's ,MD,Native American or Alaskan,554,113510,0.48806272575103515
120,Talbot ,MD,Native American or Alaskan,161,37181,0.433016863451763
121,Talbot ,MD,Two or more Races,679,37181,1.8262015545574353
122,Talbot ,MD,White,30973,37181,83.30330007261773
